iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
21,"((1, 5), ((1, 6),))","((1, 6), ((1, 6),))",South,"['((1, 6), ((1, 6),))', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))']","['((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))', '((1, 5), ((1, 6),))']","['((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((1, 5), ((1, 6),))', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",5,0,5
22,"((2, 6), ((1, 6),))","((1, 6), ((1, 6),))",East,"['((2, 5), ((1, 6),))', '((3, 6), ((1, 6),))', '((1, 6), ((1, 6),))']","['((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())', '((2, 6), ((1, 6),))']","['((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())', '((6, 4), ())']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((1, 5), ((1, 6),))', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",5,0,5
23,"((5, 3), ())","((6, 3), ())",West,"['((6, 3), ())', '((4, 3), ())']","['((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())', '((5, 3), ())']","['((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())', '((1, 5), ())']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",5,0,5
24,"((1, 3), ())","((1, 4), ())",South,"['((1, 4), ())', '((1, 2), ())']","['((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))', '((1, 3), ())']","['((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))', '((6, 5), ((6, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",5,0,5
25,"((6, 3), ((6, 6),))","((6, 4), ((6, 6),))",South,"['((6, 4), ((6, 6),))', '((5, 3), ((6, 6),))']","['((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))', '((6, 3), ((6, 6),))']","['((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((6, 5), ((6, 6),))', '((5, 6), ((6, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",6,0,6
26,"((4, 5), ((6, 6),))","((4, 6), ((6, 6),))",South,"['((4, 6), ((6, 6),))', '((5, 5), ((6, 6),))', '((3, 5), ((6, 6),))']","['((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((4, 5), ((6, 6),))']","['((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))', '((5, 6), ((6, 6),))', '((4, 5), ((6, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",6,0,6
27,"((3, 6), ((6, 6),))","((4, 6), ((6, 6),))",West,"['((3, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((2, 6), ((6, 6),))']","['((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))', '((3, 6), ((6, 6),))']","['((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))', '((1, 6), ((1, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((6, 5), ((6, 6),))']",6,0,6
28,"((1, 4), ((1, 6),))","((1, 5), ((1, 6),))",South,"['((1, 5), ((1, 6),))', '((1, 3), ((1, 6),))']","['((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))', '((1, 4), ((1, 6),))']","['((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((6, 5), ((6, 6),))']",6,0,6
29,"((2, 5), ((1, 6),))","((2, 6), ((1, 6),))",South,"['((2, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))']","['((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))', '((2, 5), ((1, 6),))']","['((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))', '((2, 5), ((1, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))', '((6, 5), ((6, 6),))']",6,0,6
30,"((3, 6), ((1, 6),))","((2, 6), ((1, 6),))",East,"['((3, 5), ((1, 6),))', '((4, 6), ((1, 6),))', '((2, 6), ((1, 6),))']","['((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))', '((3, 6), ((1, 6),))']","['((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())', '((6, 3), ())', '((1, 6), ((1, 6),))']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((3, 6), ((1, 6),))', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))', '((6, 5), ((6, 6),))']",6,0,6
31,"((4, 3), ())","((5, 3), ())",West,"['((5, 3), ())', '((3, 3), ())']","['((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())', '((4, 3), ())']","['((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())', '((1, 4), ())']","['((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((3, 6), ((1, 6),))', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))', '((4, 3), ())', '((6, 5), ((6, 6),))']",6,0,6
32,"((1, 2), ())","((1, 3), ())",South,"['((1, 3), ())', '((1, 1), ((1, 1),))']","['((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))', '((1, 2), ())']","['((1, 1), ((1, 1),))', '((1, 3), ())', '((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))', '((6, 4), ((6, 6),))']","['((1, 2), ())', '((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((3, 6), ((1, 6),))', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))', '((4, 3), ())', '((6, 5), ((6, 6),))']",6,0,6
33,"((5, 3), ((6, 6),))","((6, 3), ((6, 6),))",West,"['((6, 3), ((6, 6),))', '((4, 3), ((6, 6),))']","['((1, 1), ((1, 1),))', '((1, 3), ())', '((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 3), ((6, 6),))']","['((4, 3), ((6, 6),))', '((6, 3), ((6, 6),))', '((1, 1), ((1, 1),))', '((1, 3), ())', '((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))', '((5, 5), ((6, 6),))', '((4, 6), ((6, 6),))']","['((1, 2), ())', '((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((3, 6), ((1, 6),))', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((5, 3), ((6, 6),))', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))', '((4, 3), ())', '((6, 5), ((6, 6),))']",7,0,7
34,"((3, 5), ((6, 6),))","((3, 6), ((6, 6),))",South,"['((3, 6), ((6, 6),))', '((4, 5), ((6, 6),))', '((2, 5), ((6, 6),))']","['((4, 3), ((6, 6),))', '((6, 3), ((6, 6),))', '((1, 1), ((1, 1),))', '((1, 3), ())', '((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((3, 5), ((6, 6),))']","['((2, 5), ((6, 6),))', '((4, 5), ((6, 6),))', '((3, 6), ((6, 6),))', '((4, 3), ((6, 6),))', '((6, 3), ((6, 6),))', '((1, 1), ((1, 1),))', '((1, 3), ())', '((3, 3), ())', '((5, 3), ())', '((2, 6), ((1, 6),))', '((4, 6), ((1, 6),))', '((3, 5), ((1, 6),))', '((1, 5), ((1, 6),))', '((3, 5), ((1, 6),))', '((2, 6), ((1, 6),))', '((1, 3), ((1, 6),))', '((1, 5), ((1, 6),))', '((2, 6), ((6, 6),))', '((4, 6), ((6, 6),))', '((3, 5), ((6, 6),))']","['((1, 2), ())', '((2, 5), ())', '((6, 4), ())', '((1, 4), ())', '((6, 3), ())', '((4, 6), ())', '((4, 5), ((6, 6),))', '((1, 5), ((1, 6),))', '((5, 3), ())', '((5, 5), ((6, 6),))', '((6, 5), ())', '((1, 5), ())', '((5, 6), ((6, 6),))', '((3, 6), ((6, 6),))', '((3, 5), ((6, 6),))', '((6, 6), ((6, 6),))', '((4, 5), ())', '((3, 6), ((1, 6),))', '((2, 6), ((1, 6),))', '((5, 5), ())', '((1, 6), ((1, 6),))', '((6, 4), ((6, 6),))', '((6, 3), ((6, 6),))', '((4, 6), ((6, 6),))', '((5, 6), ())', '((1, 3), ())', '((5, 3), ((6, 6),))', '((2, 6), ())', '((3, 6), ())', '((3, 5), ())', '((1, 4), ((1, 6),))', '((2, 5), ((1, 6),))', '((4, 3), ())', '((6, 5), ((6, 6),))']",7,0,7
